"","Treatuntreat_EP","Kingdom","Phylum","Class","Order","Family","Genus","Species","Abundance","Prevalence","Total_Abundance","Percentage"
"1","Untreated","Bacteria","Acidobacteriota","Acidobacteriae","Acidobacteriales","Acidobacteriaceae (Subgroup 1)","Acidicapsa","Acidicapsa_acidisoli",30,2,30495,0.0983767830791933
"2","Untreated","Bacteria","Acidobacteriota","Acidobacteriae","Acidobacteriales","Acidobacteriaceae (Subgroup 1)","Granulicella","Granulicella_mallensis",166,3,30495,0.544351533038203
"3","Untreated","Bacteria","Acidobacteriota","Acidobacteriae","Acidobacteriales","Acidobacteriaceae (Subgroup 1)","Granulicella","Granulicella_paludicola",89,3,30495,0.29185112313494
"4","Untreated","Bacteria","Acidobacteriota","Acidobacteriae","Acidobacteriales","Acidobacteriaceae (Subgroup 1)","Terracidiphilus","Terracidiphilus_gabretensis",32,1,30495,0.104935235284473
"5","Untreated","Bacteria","Actinobacteriota","Actinobacteria","Catenulisporales","Catenulisporaceae","Catenulispora","Catenulispora_acidiphila",40,3,30495,0.131169044105591
"6","Untreated","Bacteria","Actinobacteriota","Actinobacteria","Catenulisporales","Catenulisporaceae","Catenulispora","Catenulispora_graminis",6,1,30495,0.0196753566158387
"7","Untreated","Bacteria","Actinobacteriota","Actinobacteria","Catenulisporales","Catenulisporaceae","Catenulispora","Catenulispora_rubra",20,1,30495,0.0655845220527955
"8","Untreated","Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Mycobacteriaceae","Mycobacterium","Mycobacterium_conspicuum",49,1,30495,0.160682079029349
"9","Untreated","Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Mycobacteriaceae","Mycobacterium","Mycobacterium_madagascariense",389,10,30495,1.27561895392687
"10","Untreated","Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Nocardiaceae","Nocardia","Nocardia_pseudobrasiliensis",6,1,30495,0.0196753566158387
"11","Untreated","Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Nocardiaceae","Rhodococcus","Rhodococcus_tukisamuensis",33,2,30495,0.108214461387113
