"","YrSinceTrt_BR","Kingdom","Phylum","Class","Order","Family","Genus","Abundance","Prevalence","Total_Abundance","Percentage"
"1","Untreated","Fungi","Ascomycota","Archaeorhizomycetes","Archaeorhizomycetales","Archaeorhizomycetaceae","Archaeorhizomyces",697,13,3169678,0.0219896153489408
"2","Untreated","Fungi","Ascomycota","Archaeorhizomycetes","Archaeorhizomycetales","Archaeorhizomycetales_fam_Incertae_sedis","Archaeorhizomycetales_gen_Incertae_sedis",103,4,3169678,0.00324954143607016
"3","Untreated","Fungi","Ascomycota","Arthoniomycetes","Arthoniales","Roccellaceae","Gyrographa",9,1,3169678,0.000283940513831373
"4","Untreated","Fungi","Ascomycota","Arthoniomycetes","Lichenostigmatales","Lichenostigmatales_fam_Incertae_sedis","Lichenostigmatales_gen_Incertae_sedis",6,1,3169678,0.000189293675887582
"5","Untreated","Fungi","Ascomycota","Arthoniomycetes","Lichenostigmatales","Phaeococcomycetaceae","Phaeococcomyces",7,1,3169678,0.000220842621868846
"6","Untreated","Fungi","Ascomycota","Ascomycota_cls_Incertae_sedis","Ascomycota_ord_Incertae_sedis","Ascomycota_fam_Incertae_sedis","Ascomycota_gen_Incertae_sedis",440,5,3169678,0.013881536231756
"7","Untreated","Fungi","Ascomycota","Candelariomycetes","Candelariales","Pycnoraceae","Pycnora",154,6,3169678,0.00485853768111461
"8","Untreated","Fungi","Ascomycota","Dothideomycetes","Botryosphaeriales","Botryosphaeriaceae","Botryosphaeriaceae_gen_Incertae_sedis",8,2,3169678,0.00025239156785011
"9","Untreated","Fungi","Ascomycota","Dothideomycetes","Botryosphaeriales","Botryosphaeriaceae","Diplodia",170,5,3169678,0.00536332081681483
"10","Untreated","Fungi","Ascomycota","Dothideomycetes","Botryosphaeriales","Botryosphaeriaceae","Dothiorella",11,1,3169678,0.000347038405793901
"11","Untreated","Fungi","Ascomycota","Dothideomycetes","Botryosphaeriales","Botryosphaeriaceae","Microdiplodia",310,3,3169678,0.00978017325419175
"12","Untreated","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Capnodiaceae","Chaetocapnodium",41,2,3169678,0.00129350678523181
"13","Untreated","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Capnodiales_fam_Incertae_sedis","Capnodiales_gen_Incertae_sedis",925,18,3169678,0.0291827750326689
"14","Untreated","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Capnodiales_fam_Incertae_sedis","Pseudopenidiella",6,1,3169678,0.000189293675887582
"15","Untreated","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Cladosporiaceae","Cladosporium",4305,38,3169678,0.13581821244934
"16","Untreated","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Dissoconiaceae","Ramichloridium",133,5,3169678,0.00419600981550807
"17","Untreated","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Neodevriesiaceae","Neodevriesia",24,1,3169678,0.000757174703550329
"18","Untreated","Fungi","Ascomycota","Dothideomycetes","Dothideales","Dothideaceae","Dothidea",66,2,3169678,0.0020822304347634
"19","Untreated","Fungi","Ascomycota","Dothideomycetes","Dothideales","Dothideales_fam_Incertae_sedis","Dothideales_gen_Incertae_sedis",20,2,3169678,0.000630978919625274
"20","Untreated","Fungi","Ascomycota","Dothideomycetes","Dothideales","Dothioraceae","Dothiora",387,5,3169678,0.0122094420947491
"21","Untreated","Fungi","Ascomycota","Dothideomycetes","Dothideales","Dothioraceae","Hormonema",29,2,3169678,0.000914919433456648
"22","Untreated","Fungi","Ascomycota","Dothideomycetes","Dothideales","Saccotheciaceae","Aureobasidium",186,13,3169678,0.00586810395251505
"23","Untreated","Fungi","Ascomycota","Dothideomycetes","Dothideomycetes_ord_Incertae_sedis","Dothideomycetes_fam_Incertae_sedis","Pseudoarthrographis",502,12,3169678,0.0158375708825944
"24","Untreated","Fungi","Ascomycota","Dothideomycetes","Dothideomycetes_ord_Incertae_sedis","Eremomycetaceae","Eremomyces",10,1,3169678,0.000315489459812637
"25","Untreated","Fungi","Ascomycota","Dothideomycetes","Dothideomycetidae_ord_Incertae_sedis","Pseudoperisporiaceae","Eudimeriolum",12,1,3169678,0.000378587351775165
"26","Untreated","Fungi","Ascomycota","Dothideomycetes","Gloniales","Gloniaceae","Cenococcum",14599,25,3169678,0.460583062380469
"27","Untreated","Fungi","Ascomycota","Dothideomycetes","Microthyriales","Microthyriales_fam_Incertae_sedis","Parazalerion",42,4,3169678,0.00132505573121308
"28","Untreated","Fungi","Ascomycota","Dothideomycetes","Mycosphaerellales","Mycosphaerellaceae","Acrodontium",12,2,3169678,0.000378587351775165
"29","Untreated","Fungi","Ascomycota","Dothideomycetes","Mycosphaerellales","Mycosphaerellaceae","Pachyramichloridium",6,1,3169678,0.000189293675887582
"30","Untreated","Fungi","Ascomycota","Dothideomycetes","Mycosphaerellales","Teratosphaeriaceae","Capnobotryella",228,8,3169678,0.00719315968372813
"31","Untreated","Fungi","Ascomycota","Dothideomycetes","Mycosphaerellales","Teratosphaeriaceae","Devriesia",20,1,3169678,0.000630978919625274
"32","Untreated","Fungi","Ascomycota","Dothideomycetes","Mycosphaerellales","Teratosphaeriaceae","Penidiellomyces",17,1,3169678,0.000536332081681483
"33","Untreated","Fungi","Ascomycota","Dothideomycetes","Mycosphaerellales","Teratosphaeriaceae","Teratosphaeria",400,8,3169678,0.0126195783925055
"34","Untreated","Fungi","Ascomycota","Dothideomycetes","Mytilinidiales","Mytilinidiaceae","Lophium",298,13,3169678,0.00940158590241659
"35","Untreated","Fungi","Ascomycota","Dothideomycetes","Mytilinidiales","Mytilinidiaceae","Mytilinidion",28,2,3169678,0.000883370487475384
"36","Untreated","Fungi","Ascomycota","Dothideomycetes","Mytilinidiales","Mytilinidiales_fam_Incertae_sedis","Halokirschsteiniothelia",11,1,3169678,0.000347038405793901
"37","Untreated","Fungi","Ascomycota","Dothideomycetes","Phaeotrichales","Phaeotrichaceae","Phaeotrichum",411,4,3169678,0.0129666167982994
"38","Untreated","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Amorosiaceae","Angustimassarina",265,3,3169678,0.00836047068503488
"39","Untreated","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Biatriosporaceae","Biatriospora",28,2,3169678,0.000883370487475384
"40","Untreated","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Cucurbitariaceae","Pyrenochaeta",2962,31,3169678,0.0934479779965031
"41","Untreated","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Cucurbitariaceae","Pyrenochaetopsis",363,3,3169678,0.0114522673911987
"42","Untreated","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Delitschiaceae","Delitschiaceae_gen_Incertae_sedis",558,10,3169678,0.0176043118575452
"43","Untreated","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Dictyosporiaceae","Dictyosporiaceae_gen_Incertae_sedis",6,1,3169678,0.000189293675887582
"44","Untreated","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Dictyosporiaceae","Dictyosporium",56,3,3169678,0.00176674097495077
"45","Untreated","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymellaceae","Didymella",6,1,3169678,0.000189293675887582
"46","Untreated","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Fuscostagonosporaceae","Fuscostagonospora",18,3,3169678,0.000567881027662747
"47","Untreated","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Lentitheciaceae","Lentitheciaceae_gen_Incertae_sedis",194,5,3169678,0.00612049552036516
"48","Untreated","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Lentitheciaceae","Lentithecium",783,12,3169678,0.0247028247033295
"49","Untreated","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Lophiostomataceae","Lophiostoma",136,5,3169678,0.00429065665345186
"50","Untreated","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Massarinaceae","Helminthosporium",133,3,3169678,0.00419600981550807
"51","Untreated","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Massarinaceae","Stagonospora",163,12,3169678,0.00514247819494598
"52","Untreated","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Melanommataceae","Camposporium",279,9,3169678,0.00880215592877258
"53","Untreated","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Melanommataceae","Marjia",117,1,3169678,0.00369122667980785
"54","Untreated","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Melanommataceae","Melanommataceae_gen_Incertae_sedis",419,10,3169678,0.0132190083661495
"55","Untreated","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Melanommataceae","Pleotrichocladium",2391,37,3169678,0.0754335298412015
"56","Untreated","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Melanommataceae","Uzbekistanica",12,1,3169678,0.000378587351775165
"57","Untreated","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Neopyrenochaetaceae","Neopyrenochaeta",516,10,3169678,0.0162792561263321
"58","Untreated","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Nigrogranaceae","Nigrograna",1301,20,3169678,0.0410451787216241
"59","Untreated","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Occultibambusaceae","Brunneofusispora",283,5,3169678,0.00892835171269763
"60","Untreated","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Ophiosphaerella",122,5,3169678,0.00384897140971417
"61","Untreated","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleomassariaceae","Pleomassariaceae_gen_Incertae_sedis",2138,11,3169678,0.0674516465079418
"62","Untreated","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria",18,1,3169678,0.000567881027662747
"63","Untreated","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Pithomyces",186,10,3169678,0.00586810395251505
"64","Untreated","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Pleospora",34,2,3169678,0.00107266416336297
"65","Untreated","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Pyrenophora",30,1,3169678,0.000946468379437911
"66","Untreated","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporales_fam_Incertae_sedis","Cheiromyces",195,9,3169678,0.00615204446634642
"67","Untreated","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporales_fam_Incertae_sedis","Hobus",47,2,3169678,0.00148280046111939
"68","Untreated","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Roussoellaceae","Roussoellaceae_gen_Incertae_sedis",30,2,3169678,0.000946468379437911
"69","Untreated","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Sporormiaceae","Preussia",18,1,3169678,0.000567881027662747
"70","Untreated","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Sporormiaceae","Sporormiella",8,1,3169678,0.00025239156785011
"71","Untreated","Fungi","Ascomycota","Dothideomycetes","Tubeufiales","Tubeufiaceae","Tubeufiaceae_gen_Incertae_sedis",136,1,3169678,0.00429065665345186
"72","Untreated","Fungi","Ascomycota","Dothideomycetes","Venturiales","Cylindrosympodiaceae","Cylindrosympodium",163,4,3169678,0.00514247819494598
"73","Untreated","Fungi","Ascomycota","Dothideomycetes","Venturiales","Sympoventuriaceae","Pseudosigmoidea",476,14,3169678,0.0150172982870815
"74","Untreated","Fungi","Ascomycota","Dothideomycetes","Venturiales","Sympoventuriaceae","Scolecobasidium",20,1,3169678,0.000630978919625274
"75","Untreated","Fungi","Ascomycota","Dothideomycetes","Venturiales","Sympoventuriaceae","Sympoventuriaceae_gen_Incertae_sedis",51,2,3169678,0.00160899624504445
"76","Untreated","Fungi","Ascomycota","Dothideomycetes","Venturiales","Venturiaceae","Pseudoanungitea",358,8,3169678,0.0112945226612924
